Time,T_ext,P_hea,I_sol,T_int
0.0,15.418957884625,0.0,14.2423486709595,26.701061942175023
1800.0,14.9948062306149,0.0,14.2267837524414,26.631188004166873
3600.0,14.8716942236587,0.0,14.2372303009033,26.577434154320624
5400.0,14.5301774034655,0.0,14.2500448226929,26.5183013764331
7200.0,13.891461780699,0.0,14.3154363632202,26.4447266318162
9000.0,13.1162573190316,0.0,14.3034811019897,26.391879349465626
10800.0,12.5681982839747,0.0,14.4360952377319,26.32907742437085
12600.0,12.0670899358849,0.0,14.4375,26.256064818538178
14400.0,11.5760966302683,0.0,14.4375,26.197857755693427
16200.0,11.3217592338566,0.0,14.5054750442505,26.126720585405
18000.0,10.961035357387,60.0,14.5144910812378,26.055837983373625
19800.0,10.6097180547828,0.0,14.5706071853638,25.99091300829755
21600.0,10.3554543391062,0.0,17.1766510009766,25.920460545348423
23400.0,10.4063053819168,0.0,25.8348941802979,25.861579295743127
25200.0,10.8195003327474,0.0,37.5803298950195,25.783808490303326
27000.0,12.0746544913692,0.0,70.5150833129883,25.745182572894773
28800.0,13.5204122104235,0.0,263.256652832031,25.712845914712574
30600.0,14.706039149102,0.0,364.796966552734,25.654651982675876
32400.0,15.2661761569888,0.0,474.302520751953,25.589989892690603
34200.0,16.0963719520122,0.0,561.508911132813,25.53826508342495
36000.0,16.8941926208979,0.0,605.131103515625,25.4865381019547
37800.0,17.8399509813903,0.0,747.524597167969,25.44127710653055
39600.0,18.368073709817,0.0,857.832214355469,25.389553371539453
41400.0,18.5676143655838,0.0,910.694763183594,25.354810840966348
43200.0,19.6364554496633,0.0,956.801391601563,25.3184297006854
45000.0,19.9791577739938,0.0,979.146362304688,25.279637828190523
46800.0,20.5238511108503,0.0,995.044372558594,25.266709673444325
48600.0,21.6094895133141,0.0,977.274841308594,25.226981633763874
50400.0,22.9014358636886,0.0,985.908508300781,25.211669131810474
52200.0,23.6779212365993,0.0,931.0390625,25.195591671520702
54000.0,24.1391286326843,0.0,874.777648925781,25.183698705534024
55800.0,24.5117018827794,0.0,815.689636230469,25.163270105138576
57600.0,24.8540773669255,0.0,753.552429199219,25.144468099586696
59400.0,25.0583770424887,0.0,700.598571777344,25.1309432300092
61200.0,25.3648492268289,0.0,607.671569824219,25.121115427013024
63000.0,25.4142285441844,0.0,134.051681518555,25.103100169036725
64800.0,26.0595584298756,0.0,385.251403808594,25.0921554099221
66600.0,26.3334882894865,0.0,351.481903076172,25.0559978697418
68400.0,27.1054696912997,0.0,252.401275634766,25.04595937799698
70200.0,25.7653493648281,0.0,36.1733818054199,25.028105467678426
72000.0,23.2503613762721,1980.0,32.8134956359863,25.92624215405135
73800.0,21.4526421204925,1980.0,23.2224655151367,27.319563346411297
75600.0,19.5949807527239,1920.0,15.1269855499268,27.80357722159325
77400.0,18.537764221565,1920.0,14.1107883453369,28.25173839980195
79200.0,17.7984970661966,1920.0,14.1009225845337,28.565262192075075
81000.0,16.9890575121392,1980.0,14.1993398666382,28.893528751248052
82800.0,16.030152808156,1920.0,14.209358215332,29.227347549472224
84600.0,15.3358649077748,1920.0,14.2325458526611,29.497231298572878
86400.0,14.7241277696025,1920.0,14.2531566619873,29.780135042542724
88200.0,13.906393465082,1920.0,14.3053569793701,30.085996354378725
90000.0,13.266747386877,1980.0,14.2901782989502,30.180691347093575
91800.0,12.8226310874923,1920.0,14.3239641189575,30.40983849359445
93600.0,12.4386458250589,1920.0,14.3823261260986,30.572655344504977
95400.0,12.0540361656256,1920.0,14.3667459487915,30.776165388112474
97200.0,11.6540971347639,1980.0,14.3996677398682,30.957867199532927
99000.0,11.3481964484342,1980.0,14.4573936462402,31.129694940145576
100800.0,11.0420104854116,1920.0,14.4469041824341,31.34288224787775
102600.0,10.8843441028792,1920.0,14.5079030990601,31.457412473044776
104400.0,10.5588632334728,1920.0,14.4964914321899,31.700608932696703
106200.0,10.206585247436,1980.0,14.6185054779053,31.818934040313597
108000.0,10.0941852858333,1980.0,18.8746223449707,31.956325814745625
109800.0,10.228329565954,1920.0,27.6144275665283,32.1307100918886
111600.0,10.8212800058908,1920.0,39.9735374450684,32.298458142063474
113400.0,12.485512440418,1980.0,110.596733093262,32.496855955514526
115200.0,13.7725741358963,1980.0,244.934768676758,32.6875205948972
117000.0,15.1593003612791,1980.0,367.329223632812,32.91261193000605
118800.0,16.2294941480877,2100.0,472.967254638672,32.99800597164865
120600.0,16.9649223482253,2040.0,576.479858398438,33.2491821872807
122400.0,17.7787903033955,2100.0,669.78466796875,33.313594730823574
124200.0,18.6135590271275,2100.0,741.378540039063,33.56821975623148
126000.0,19.3638820712805,2160.0,813.209716796875,33.75872943651032
127800.0,20.1579941431593,2160.0,864.37939453125,33.9576676635834
129600.0,20.6982987531451,2100.0,901.07568359375,34.20207274380275
131400.0,21.5920347360615,2160.0,975.49560546875,34.3859322007335
133200.0,22.2353941343976,2160.0,982.98486328125,34.53411750078753
135000.0,22.9904270778568,2160.0,931.216186523437,34.745137784360175
136800.0,23.7450991746384,2160.0,985.358093261719,34.880274732629324
138600.0,24.2513330569511,2100.0,924.911437988281,34.99090441031325
140400.0,24.777468294776,2100.0,876.93017578125,35.20530516357752
142200.0,24.9470322267995,2100.0,821.831970214844,35.36676763849658
144000.0,25.5271697758037,2100.0,756.043823242188,35.55818085430645
145800.0,25.9288053528254,2100.0,676.937438964844,35.67841876114842
147600.0,26.4121774254691,2040.0,605.63916015625,35.806082948687745
149400.0,27.2254049250175,1980.0,520.369689941406,35.952628775479305
151200.0,28.394323340044,1980.0,435.053771972656,36.04149005828762
153000.0,28.4684744984359,1920.0,342.587982177734,36.2085129985554
154800.0,29.0447353072169,1980.0,241.329574584961,36.27271415586527
156600.0,28.4667930662728,1980.0,35.6887550354004,36.486327666512224
158400.0,25.4629258424267,1980.0,29.8165760040283,36.607960664577604
160200.0,23.3380187802077,1980.0,23.5326042175293,36.74778899422025
162000.0,21.6196536762774,1980.0,16.3504848480225,36.860656451550796
163800.0,20.1170597716116,1980.0,14.6237640380859,36.9576093617232
165600.0,19.0103335648733,1980.0,14.6436862945557,37.0757877578982
167400.0,18.1746391088267,1920.0,14.6564769744873,37.16061351618663
169200.0,17.3782353771571,1920.0,14.7000226974487,37.2844470060403
171000.0,16.8650320529909,1980.0,14.7001037597656,37.39674009253983
172800.0,16.2761368873666,1980.0,14.7300872802734,37.44657871862047
174600.0,15.6873475197211,1920.0,14.71875,37.6230308684056
176400.0,15.1388643481241,1920.0,14.71875,37.7158721093836
178200.0,14.6805805658283,1920.0,14.775897026062,37.80926363978408
180000.0,14.3231751563189,1920.0,14.6555995941162,37.874880001169075
181800.0,13.8151049233741,1920.0,14.650520324707,37.962797129388
183600.0,13.6145100663186,1920.0,14.6352424621582,38.04817203999787
185400.0,13.1788698853605,1980.0,14.6051635742187,38.15741978022435
